,country,date,vaccine,total_vaccinations
20240,Ukraine,2021-08-04,Johnson&Johnson,497
20241,Ukraine,2021-08-04,Moderna,550215
20242,Ukraine,2021-08-04,Oxford/AstraZeneca,1603004
20243,Ukraine,2021-08-04,Pfizer/BioNTech,2130956
20244,Ukraine,2021-08-04,Sinovac,1785651
20245,Ukraine,2021-08-05,Johnson&Johnson,497
20246,Ukraine,2021-08-05,Moderna,609594
20247,Ukraine,2021-08-05,Oxford/AstraZeneca,1613255
20248,Ukraine,2021-08-05,Pfizer/BioNTech,2192546
20249,Ukraine,2021-08-05,Sinovac,1821814
20250,Ukraine,2021-08-06,Johnson&Johnson,1997
20251,Ukraine,2021-08-06,Moderna,668690
20252,Ukraine,2021-08-06,Oxford/AstraZeneca,1623104
20253,Ukraine,2021-08-06,Pfizer/BioNTech,2257420
20254,Ukraine,2021-08-06,Sinovac,1857097
20255,Ukraine,2021-08-07,Johnson&Johnson,3497
20256,Ukraine,2021-08-07,Moderna,697483
20257,Ukraine,2021-08-07,Oxford/AstraZeneca,1625391
20258,Ukraine,2021-08-07,Pfizer/BioNTech,2286224
20259,Ukraine,2021-08-07,Sinovac,1874678
20260,Ukraine,2021-08-08,Johnson&Johnson,5497
20261,Ukraine,2021-08-08,Moderna,714930
20262,Ukraine,2021-08-08,Oxford/AstraZeneca,1626160
20263,Ukraine,2021-08-08,Pfizer/BioNTech,2305795
20264,Ukraine,2021-08-08,Sinovac,1886336
20265,Ukraine,2021-08-09,Johnson&Johnson,5497
20266,Ukraine,2021-08-09,Moderna,763868
20267,Ukraine,2021-08-09,Oxford/AstraZeneca,1632996
20268,Ukraine,2021-08-09,Pfizer/BioNTech,2358898
20269,Ukraine,2021-08-09,Sinovac,1917467
20270,Ukraine,2021-08-10,Johnson&Johnson,5497
20271,Ukraine,2021-08-10,Moderna,823606
20272,Ukraine,2021-08-10,Oxford/AstraZeneca,1641608
20273,Ukraine,2021-08-10,Pfizer/BioNTech,2418395
20274,Ukraine,2021-08-10,Sinovac,1957293
20275,Ukraine,2021-08-11,Johnson&Johnson,7497
20276,Ukraine,2021-08-11,Moderna,878149
20277,Ukraine,2021-08-11,Oxford/AstraZeneca,1650551
20278,Ukraine,2021-08-11,Pfizer/BioNTech,2475466
20279,Ukraine,2021-08-11,Sinovac,1996785
20280,Ukraine,2021-08-12,Johnson&Johnson,8497
20281,Ukraine,2021-08-12,Moderna,937741
20282,Ukraine,2021-08-12,Oxford/AstraZeneca,1658937
20283,Ukraine,2021-08-12,Pfizer/BioNTech,2527848
20284,Ukraine,2021-08-12,Sinovac,2038735
20285,Ukraine,2021-08-13,Johnson&Johnson,10497
20286,Ukraine,2021-08-13,Moderna,993492
20287,Ukraine,2021-08-13,Oxford/AstraZeneca,1667224
20288,Ukraine,2021-08-13,Pfizer/BioNTech,2581594
20289,Ukraine,2021-08-13,Sinovac,2080743
20290,Ukraine,2021-08-14,Johnson&Johnson,11497
20291,Ukraine,2021-08-14,Moderna,1018316
20292,Ukraine,2021-08-14,Oxford/AstraZeneca,1669542
20293,Ukraine,2021-08-14,Pfizer/BioNTech,2611707
20294,Ukraine,2021-08-14,Sinovac,2098636
20295,Ukraine,2021-08-15,Johnson&Johnson,12997
20296,Ukraine,2021-08-15,Moderna,1037116
20297,Ukraine,2021-08-15,Oxford/AstraZeneca,1670630
20298,Ukraine,2021-08-15,Pfizer/BioNTech,2631231
